img_name,image_path,source,date,time,band,channel
3DIMG_26MAY2024_1430_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_1430_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,1430,B3,TIR1
3DIMG_26MAY2024_1500_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_1500_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,1500,B3,TIR1
3DIMG_26MAY2024_1530_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_1530_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,1530,B3,TIR1
3DIMG_26MAY2024_1600_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_1600_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,1600,B3,TIR1
3DIMG_26MAY2024_1630_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_1630_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,1630,B3,TIR1
3DIMG_26MAY2024_1700_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_1700_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,1700,B3,TIR1
3DIMG_26MAY2024_1730_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_1730_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,1730,B3,TIR1
3DIMG_26MAY2024_1800_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_1800_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,1800,B3,TIR1
3DIMG_26MAY2024_1830_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_1830_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,1830,B3,TIR1
3DIMG_26MAY2024_2000_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_2000_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,2000,B3,TIR1
3DIMG_26MAY2024_2030_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_2030_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,2030,B3,TIR1
3DIMG_26MAY2024_2100_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_2100_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,2100,B3,TIR1
3DIMG_26MAY2024_2130_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_2130_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,2130,B3,TIR1
3DIMG_26MAY2024_2200_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_2200_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,2200,B3,TIR1
3DIMG_26MAY2024_2230_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_2230_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,2230,B3,TIR1
3DIMG_26MAY2024_2300_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_2300_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,2300,B3,TIR1
3DIMG_26MAY2024_2330_L1B_STD_V01R00_B3_TIR1.png,data\processed\mosdac_tir1\3DIMG_26MAY2024_2330_L1B_STD_V01R00_B3_TIR1.png,MOSDAC,26MAY2024,2330,B3,TIR1
